,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Jamestown,1,US,1586654195,48,42.1,-79.24,42.01,3.36
1,Kalianget,44,ID,1586654371,76,-7.05,113.93,80.87,3.29
2,Uvat,1,RU,1586654372,90,59.14,68.9,33.8,4.63
3,Atuona,38,PF,1586654271,64,-9.8,-139.03,82.67,5.21
4,Busselton,92,AU,1586654244,59,-33.65,115.33,73.99,9.22
5,Punta Arenas,75,CL,1586654295,81,-53.15,-70.92,42.8,10.29
6,Rikitea,49,PF,1586654286,73,-23.12,-134.97,78.06,4.88
7,Leningradskiy,74,RU,1586654379,86,69.38,178.42,17.37,2.91
8,Solwezi,70,ZM,1586654380,66,-12.17,26.39,60.71,4.12
9,New Norfolk,75,AU,1586654381,58,-42.78,147.06,59.0,14.99
10,San Jose,20,US,1586654225,67,37.34,-121.89,64.99,11.41
11,Castro,15,BR,1586654329,72,-24.79,-50.01,56.14,4.54
12,Bowen,83,AU,1586654385,48,-20.02,148.23,88.0,6.93
13,Saint George,1,US,1586654386,32,37.1,-113.58,68.0,13.87
14,Ulladulla,0,AU,1586654388,32,-35.35,150.47,66.2,5.82
15,Upernavik,100,GL,1586654389,88,72.79,-56.15,19.87,1.63
16,Hermanus,100,ZA,1586654254,93,-34.42,19.23,63.0,18.01
17,Nikolskoye,1,RU,1586654391,100,59.7,30.79,24.8,3.0
18,Severo-Kuril'sk,64,RU,1586654307,93,50.68,156.12,30.72,7.4
19,Lebu,0,CL,1586654394,70,-37.62,-73.65,53.4,15.01
20,Hithadhoo,15,MV,1586654256,69,-0.6,73.08,84.31,9.22
21,Katsuura,75,JP,1586654263,81,35.13,140.3,59.0,11.41
22,Mataura,93,NZ,1586654398,56,-46.19,168.86,62.96,10.04
23,Guerrero Negro,3,MX,1586654339,61,27.98,-114.06,64.11,20.54
24,Ilo,10,PE,1586654400,77,-17.64,-71.34,71.62,4.56
25,Yar-Sale,35,RU,1586654401,91,66.83,70.83,9.07,6.15
26,Matara,11,LK,1586654403,88,5.95,80.54,76.44,4.18
27,Tiksi,59,RU,1586654404,91,71.69,128.87,7.72,17.87
28,São José da Coroa Grande,6,BR,1586654335,78,-8.9,-35.15,80.96,8.37
29,Huarmey,17,PE,1586654407,73,-10.07,-78.15,74.59,8.16
30,Karabulak,100,RU,1586654408,93,43.3,44.9,44.6,6.71
31,Qaanaaq,100,GL,1586654409,73,77.48,-69.36,11.53,2.62
32,Kavieng,86,PG,1586654224,71,-2.57,150.8,83.71,0.76
33,Cidreira,6,BR,1586654412,69,-30.18,-50.21,65.61,5.23
34,Barcelos,82,PT,1586654413,100,41.54,-8.62,53.01,4.76
35,Tuktoyaktuk,20,CA,1586654414,84,69.45,-133.04,6.8,10.29
36,Kapaa,90,US,1586654334,73,22.08,-159.32,78.8,17.22
